x
0
0
0
0
0
0
1
1
3
3
4
5
5
5
12
20
24
43
58
76
106
136
179
213
276
356
434
546
639
771
864
1039
1173
1339
1487
1651
1766
1867
2101
2248
2396
2511
2643
2737
2823
2945
3134
3315
3459
3601
3684
3751
3916
4054
4177
4289
4409
4475
4518
4566
4711
4795
4893
4987
5056
5082
5168
5204
5288
5359
5422
5440
5456
5510
5562
5590
5643
5670
5680
5694
5715
5748
5775
5788
5811
5822
5830
5856
5871
5903
5931
5951
5956
5962
5967
5977
5990
6005
6011
6013
6016
6031
6042
6044
6053
6057
6059
6065
6070
6074
6078
6081
6089
6090
6090
6095
6097
6100
6103
6105
6105
6107
6113
6115
6118
6120
6126
6127
6128
6132
6135
6135
6135
6135
6135
6135
6135
6136
6136
6136
6136
6136
6136
6136
6139
6139
6139
6140
6140
6140
6140
6140
6140
6140
6140
6140
6140
6141
6145
6145
6145
6148
6148
6148
6150
6152
6156
6158
6160
6163
6163
6166
6172
6182
6186
6191
6191
6193
6198
6206
6209
6211
6215
6215
6215
6221
6226
6226
6228
6232
6234
6234
6235
6237
6240
6243
6244
6245
6247
6249
6251
6257
6264
6266
6270
6272
6282
6287
6303
6319
6357
6365
6371
6384
6397
6410
6419
6440
6445
6452
6473
6509
6522
6535
6558
6575
6587
6622
6654
6683
6699
6728
6751
6759
6804
6863
6909
6954
7009
7036
7062
7132
7192
7248
7335
7385
7424
7453
7566
7672
7759
7877
7950
7994
8033
8131
8205
8294
8347
8432
8475
8519
8604
8686
8759
8810
8858
8879
8933
9023
9096
9171
9254
9313
9336
9363
9425
9491
9552
9610
9649
9674
9691
9762
9828
9889
9952
10005
10034
