NbCI,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
0,MCMC,Gibbs,/,27843833723.293216705322266,4999,0,0.353670595000000,0.353459788000000,0.825839097986407,0.011247952856050,0.345911587269065,0.515931352291374,0.000200573942107,0.028518569488362,0.070298174422848,0.005141231822639,0.038461685359566,0.044923581241210,0.032311714027729,0.001520960302018
0,MCMC,Gibbs,/,27840949111.179100036621094,9999,0,0.696278481000000,0.696055509000000,0.825308983852774,0.011774857721512,0.346464503362717,0.515445602732227,0.000200712078459,0.028963495058222,0.070792695692234,0.005704760692875,0.038921536115062,0.045411178509464,0.032810326291691,0.002022864803920
0,MCMC,Gibbs,/,27837227782.770286560058594,14999,0,1.039146557000000,1.038924202000000,0.824709659847210,0.012294007543211,0.346983117361603,0.515022008025851,0.000200853508188,0.029545357857431,0.071230518614152,0.006145946923870,0.039395000576760,0.045924087373626,0.033245312719246,0.002517380976076
0,MCMC,Gibbs,/,27833525762.927917480468750,19999,0,1.382591922000000,1.382378129000000,0.824202658146179,0.012823153018221,0.347493209150742,0.514466016634632,0.000200999002167,0.030095691662741,0.071689994441621,0.006672848720935,0.039875834339971,0.046447555339768,0.033742352934074,0.003000682348229
0,MCMC,Gibbs,/,27829849287.057323455810547,24999,0,1.725314002000000,1.725101018000000,0.823642415608007,0.013339694210081,0.348056477760445,0.513924573071509,0.000201155617621,0.030611627839116,0.072189250809786,0.007221908634138,0.040329001451167,0.046954733910901,0.034263615505215,0.003456747938909
0,MCMC,Gibbs,/,27825957459.278163909912109,29999,0,2.067539788000000,2.067335563000000,0.823166183553295,0.013865676457413,0.348582324043322,0.513445176303132,0.000201299204877,0.031146643385838,0.072785811259330,0.007747467810802,0.040813621955636,0.047403102465730,0.034832422551121,0.004047853178285
0,MCMC,Gibbs,/,27821816612.996120452880859,34999,0,2.421967567000000,2.421753825000000,0.822643401346892,0.014341876679823,0.349109940024429,0.512933535796343,0.000201450622821,0.031691036425083,0.073357999498765,0.008288353692528,0.041325570719752,0.048034852886281,0.035387979036551,0.004541690586033
0,MCMC,Gibbs,/,27817660883.199508666992188,39999,0,2.778543852000000,2.778325706000000,0.822163184746982,0.014800453878418,0.349662657498908,0.512407116141205,0.000201595080790,0.032213398376741,0.073842594677482,0.008761161254621,0.041847724806987,0.048560218607232,0.035916843517105,0.005100313620286
0,MCMC,Gibbs,/,27812825859.268119812011719,44999,0,3.131888664000000,3.131668215000000,0.821627060350890,0.015329039394525,0.350161699957158,0.511997010100273,0.000201728375304,0.032808665544773,0.074401838321713,0.009315163773756,0.042404677049691,0.049061834884536,0.036341826607253,0.005583702050657
0,MCMC,Gibbs,/,27808481688.190216064453125,49999,0,3.485350163000000,3.485137792000000,0.821067945028448,0.015902342055900,0.350630676493643,0.511460743316174,0.000201874590101,0.033304480365627,0.074890279224885,0.009785614936752,0.042877925566461,0.049580313287803,0.036845903645769,0.006031204527660
0,MCMC,Gibbs,/,27803985626.673580169677734,54999,0,3.916145024000000,3.915924284000000,0.820561821834819,0.015466520970495,0.351150824553655,0.511015724933453,0.000202027074400,0.033796307292069,0.074822829481415,0.010245444722037,0.043409023080450,0.050081767068012,0.037344414912381,0.006594853459027
0,MCMC,Gibbs,/,27798565752.204471588134766,59999,0,4.326878449000001,4.326560544000000,0.820019799939049,0.014970380732210,0.351756678237118,0.510413047020121,0.000202185950421,0.034357881085751,0.074720242106304,0.010747411555670,0.043914268873818,0.050694695964940,0.037897377323804,0.007123083950165
0,MCMC,Gibbs,/,27793753237.691757202148438,64999,0,4.678717726000000,4.677002846000000,0.819448460021632,0.014436450722076,0.352446472843423,0.509853025942260,0.000202349860446,0.034810705000842,0.074637282446048,0.011293512253730,0.044486614833229,0.051193642464259,0.038514659266626,0.007635199381446
0,MCMC,Gibbs,/,27786708010.459632873535156,69999,0,5.023487406000000,5.021782283000000,0.818874725391636,0.013860756395541,0.353037002625651,0.509290207177619,0.000202516935920,0.035468092387253,0.074575988706249,0.011837941209349,0.045045458203303,0.051724713932500,0.039049128762519,0.008203429820088
0,MCMC,Gibbs,/,27780110208.726306915283203,74999,0,5.369339175000000,5.367641951000000,0.818275179969384,0.013278121529266,0.353458860600836,0.508706298414063,0.000202691159465,0.036029911861232,0.074526557318815,0.012405142144765,0.045641631159181,0.052328432705612,0.039597815429295,0.008808358066772
0,MCMC,Gibbs,/,27773031534.653636932373047,79999,0,5.713129309000000,5.711426447000000,0.817751864609690,0.012797673428606,0.353998170801387,0.508106512396561,0.000202868265600,0.036588318125297,0.074522802276457,0.012999121451689,0.046261031200157,0.053036196779671,0.040144772225728,0.009381396130915
0,MCMC,Gibbs,/,27764980028.143924713134766,84999,0,6.068045591000001,6.066340076000000,0.817103085739470,0.012272600214981,0.354586339007060,0.507483612414716,0.000203030828993,0.037169780560189,0.074566050895767,0.013592170721716,0.046844266027011,0.053659203769413,0.040741256254402,0.009939416312660
0,MCMC,Gibbs,/,27755906917.086593627929688,89999,0,6.444311723000000,6.442614472000000,0.816545397090686,0.011669349426021,0.355193883001941,0.506881308685749,0.000203181817634,0.037772380652460,0.074700794146411,0.014076883270549,0.047436733895081,0.054274024901133,0.041300177386762,0.010565309130073
