NbCI,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
81,MCMC,Gibbs,/,27935900001.608959197998047,19529,0,1.498536229000000,1.494746989000000,0.755099524106758,0.047718282067743,0.436765671211314,0.248561929264481,0.000044208121851,0.031715382193487,0.014315568198802,0.047695866180738,0.052800727286390,0.072141546271244,0.045817211660327,0.032240444403397
81,MCMC,Gibbs,/,27935888402.030090332031250,19559,0,1.502018544000000,1.498235716000000,0.755099524106758,0.047715585441506,0.436770013569147,0.248561929264481,0.000044208974697,0.031719056127602,0.014319435183581,0.047695866180738,0.052803918394413,0.072141546271244,0.045819489942986,0.032246797874496
81,MCMC,Gibbs,/,27935882452.195400238037109,19589,0,1.505088198000000,1.501297495000000,0.755098013374085,0.047714216147992,0.436780662605305,0.248561929264481,0.000044209829870,0.031720449970466,0.014319435183581,0.047695866180738,0.052808732382606,0.072155640069908,0.045819489942986,0.032249163757311
81,MCMC,Gibbs,/,27935865857.085140228271484,19619,0,1.507544354000000,1.503754953000000,0.755096693292386,0.047710279448785,0.436784480598961,0.248561929264481,0.000044211335950,0.031725566763938,0.014323462350352,0.047698236515512,0.052812123994695,0.072155640069908,0.045822709935791,0.032253659325458
81,MCMC,Gibbs,/,27935858688.451950073242188,19649,0,1.509913817000000,1.506121832000000,0.755093783918505,0.047709549594191,0.436784480598961,0.248561929264481,0.000044213728168,0.031726774630583,0.014323462350352,0.047698236515512,0.052816328913595,0.072155640069908,0.045824132236245,0.032253659325458
81,MCMC,Gibbs,/,27935856344.778057098388672,19679,0,1.512563996000000,1.508773814000000,0.755093783918505,0.047707055698596,0.436787640076792,0.248561929264481,0.000044214935027,0.031726774630583,0.014324682961142,0.047700490825781,0.052819676461391,0.072159321095891,0.045829092715963,0.032253659325458
81,MCMC,Gibbs,/,27935821315.624713897705078,19709,0,1.515032474000000,1.511241992000000,0.755093783918505,0.047707055698596,0.436787640076792,0.248561847294649,0.000044214935027,0.031740101794912,0.014324682961142,0.047700490825781,0.052819676461391,0.072159321095891,0.045831991951605,0.032256549672270
81,MCMC,Gibbs,/,27935820265.381736755371094,19739,0,1.517667254000000,1.513878405000000,0.755091870513400,0.047707055698596,0.436787640076792,0.248561847294649,0.000044215172942,0.031740101794912,0.014331341576992,0.047706230069123,0.052822040649180,0.072162644710350,0.045831991951605,0.032260500228430
81,MCMC,Gibbs,/,27935817850.349990844726562,19769,0,1.520883081000000,1.517094021000000,0.755088736165020,0.047698537307371,0.436793262029681,0.248556221752814,0.000044215573150,0.031740101794912,0.014331341576992,0.047706107794245,0.052822318144919,0.072162644710350,0.045833753455256,0.032272986292005
81,MCMC,Gibbs,/,27935808683.113292694091797,19799,0,1.524086685000000,1.520324115000000,0.755088736165020,0.047698537307371,0.436798843040482,0.248556221752814,0.000044215573150,0.031743294433550,0.014337279267412,0.047706107794245,0.052823387966673,0.072167357735826,0.045837873023692,0.032284839312861
81,MCMC,Gibbs,/,27935779652.638278961181641,19829,0,1.527412879000000,1.523622066000000,0.755088736165020,0.047698537307371,0.436805470364755,0.248556114220892,0.000044216613311,0.031753582492140,0.014337840672439,0.047709387777507,0.052823387966673,0.072168641146750,0.045841688817321,0.032284839312861
81,MCMC,Gibbs,/,27935759695.407539367675781,19859,0,1.529775810000000,1.525981871000000,0.755077490881564,0.047693725105931,0.436821377206872,0.248556114220892,0.000044216866000,0.031759965390682,0.014343264275968,0.047709387777507,0.052826594815495,0.072172228628327,0.045843400632216,0.032286648989898
81,MCMC,Gibbs,/,27935745981.528011322021484,19889,0,1.531925893000000,1.528132876000000,0.755072029155675,0.047685924996116,0.436821588528135,0.248552962919328,0.000044217028364,0.031764271092020,0.014351265110876,0.047709387777507,0.052833767041845,0.072177888854623,0.045844315578143,0.032306274109929
81,MCMC,Gibbs,/,27935739294.564353942871094,19919,0,1.534166746000000,1.530385240000000,0.755065405541709,0.047673800267220,0.436825801695008,0.248545586858946,0.000044217028364,0.031765752236097,0.014356316895080,0.047710322350471,0.052833767041845,0.072180507918866,0.045844315578143,0.032311897607258
81,MCMC,Gibbs,/,27935735011.024097442626953,19949,0,1.536946747000000,1.533155043000000,0.755064726813497,0.047669854264528,0.436832301115608,0.248543209240418,0.000044217500391,0.031766694484744,0.014356316895080,0.047710322350471,0.052839440831639,0.072186317210325,0.045851311878472,0.032312650240812
81,MCMC,Gibbs,/,27935710010.052951812744141,19979,0,1.539261308000000,1.535469694000000,0.755064243206325,0.047667609757518,0.436833667771369,0.248542788296142,0.000044217500391,0.031775986901675,0.014359446833124,0.047710322350471,0.052841744422046,0.072186317210325,0.045851323389933,0.032318077749743
81,MCMC,Gibbs,/,27935687229.602184295654297,20009,0,1.541607257000000,1.537814110000000,0.755063649198515,0.047664729203623,0.436833667771369,0.248541131067233,0.000044217500391,0.031784429598064,0.014359446833124,0.047710296278654,0.052847166667964,0.072186317210325,0.045855734995876,0.032320659681246
81,MCMC,Gibbs,/,27935685483.748012542724609,20039,0,1.543871494000000,1.540078106000000,0.755060065126370,0.047664024937052,0.436835872213688,0.248535026786479,0.000044217500391,0.031784608199111,0.014359446833124,0.047720200878986,0.052851445025663,0.072191583574578,0.045855734995876,0.032320659681246
81,MCMC,Gibbs,/,27935678423.810192108154297,20069,0,1.546104802000000,1.542308049000000,0.755053024073622,0.047664024937052,0.436839690147668,0.248533150746808,0.000044217500391,0.031786776766006,0.014361532491491,0.047720200878986,0.052855003949974,0.072191583574578,0.045857460536424,0.032323225953161
81,MCMC,Gibbs,/,27935667427.930027008056641,20099,0,1.548255917000000,1.544459314000000,0.755041678983962,0.047661781831414,0.436839690147668,0.248526330487070,0.000044217500391,0.031790039268380,0.014366740523919,0.047720200878986,0.052855721482844,0.072191583574578,0.045860444528769,0.032326738732847
81,MCMC,Gibbs,/,27935649620.267852783203125,20129,0,1.550433902000000,1.546638962000000,0.755040472543887,0.047661373409474,0.436840343335493,0.248514050658774,0.000044217500391,0.031796256136343,0.014366740523919,0.047720200878986,0.052858533809213,0.072194982449109,0.045860444528769,0.032337248040317
