NbCI,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
2,MCMC,Gibbs,/,7183452.082124100998044,299,0,0.043513216000000,0.043491856000000,0.549782712033766,0.171575546278954,0.152768689651895,0.429031883288119,0.000114455434359,0.061925670253310,0.049333230290127,0.028360760516747,0.039660101379364,0.042236005562711,0.056453601840191,0.033194250100833,0.782803736971410,0.120976639225118,0.595753327444306,0.364592579348157,0.000272005400141,0.005227964659638,0.068096918307281,0.060938592098176,0.029005234271629,0.057001308144955,0.039800002033122,0.021108653571972
2,MCMC,Gibbs,/,7181473.658464632928371,599,0,1.817781496000000,0.087327747000000,0.549778416368972,0.171563477465229,0.152765069572481,0.429040899320768,0.000114456461378,0.061943502116347,0.049364697161098,0.028384306551928,0.039680444342300,0.042247634498576,0.056468016986011,0.033198334582412,0.782786404905143,0.120953025984329,0.595768881998993,0.364582368810739,0.000272005121923,0.005258739901466,0.068106915489610,0.060947973318350,0.029011330363026,0.057008345805291,0.039816991373584,0.021117441086600
2,MCMC,Gibbs,/,7180065.284118301235139,899,0,5.908068162000000,0.140498022000000,0.549767507959772,0.171549537417289,0.152762442186671,0.429039290750352,0.000114459821881,0.061954355392581,0.049378788429578,0.028409045692402,0.039703721332249,0.042262030540230,0.056477786312378,0.033221252477100,0.782769513230433,0.120946281535698,0.595773730905958,0.364573410521500,0.000272008622522,0.005266975814531,0.068119805445656,0.060960212262803,0.029022030092468,0.057020366306948,0.039830021519158,0.021127383394155
2,MCMC,Gibbs,/,7178076.461012111976743,1199,0,7.291986574000000,0.187324417000000,0.549761682253802,0.171534183210867,0.152764814297671,0.429059286687626,0.000114454257909,0.061970172574110,0.049402768636476,0.028419432973786,0.039722281741386,0.042267186602364,0.056486878774834,0.033229611809157,0.782739771122679,0.120935514211054,0.595778112182596,0.364572496582932,0.000272007188124,0.005274011319758,0.068152877628893,0.060964618401361,0.029038437495245,0.057045304374192,0.039845069406288,0.021142777071768
2,MCMC,Gibbs,/,7176424.915615187957883,1499,0,8.557380871000001,0.232453287000000,0.549740111238349,0.171512201776752,0.152773852250263,0.429040328021640,0.000114455982638,0.061976858273373,0.049415172725795,0.028434346460066,0.039734652808091,0.042276454639780,0.056506662403888,0.033245445162649,0.782733451110734,0.120916292619746,0.595773220182339,0.364569001244171,0.000272003653107,0.005291776029962,0.068164563725211,0.060975656724596,0.029045032433815,0.057067987197551,0.039863805298984,0.021176031264800
2,MCMC,Gibbs,/,7174702.940960207954049,1799,0,9.644975485000000,0.277785617000000,0.549730921293362,0.171474102916014,0.152759086651577,0.429052685752360,0.000114454832632,0.061988686517513,0.049427395905477,0.028449422796925,0.039746177676859,0.042281768597022,0.056532159905915,0.033255578216631,0.782721683217488,0.120891702255539,0.595773626143798,0.364561128177874,0.000272013306405,0.005296646888975,0.068181056623646,0.060991747165309,0.029061974243491,0.057102034754757,0.039863805298984,0.021182810587418
2,MCMC,Gibbs,/,7173085.180530638433993,2099,0,10.661532563000002,0.334077765000000,0.549715089344249,0.171442939541271,0.152750829901752,0.429053739926342,0.000114455961951,0.061996814589828,0.049435995931700,0.028465984685346,0.039765753858275,0.042314371988454,0.056543009221427,0.033263935154949,0.782707350328384,0.120876646255363,0.595760911212630,0.364570649813179,0.000272011289163,0.005309725115358,0.068190282100105,0.060997960444266,0.029072256187349,0.057112899738583,0.039880777727215,0.021202295501116
2,MCMC,Gibbs,/,7171445.669054005295038,2399,0,11.538524827000002,0.379401238000000,0.549695909441751,0.171424431085600,0.152765558780721,0.429037380128097,0.000114454114730,0.062012446315176,0.049455733531657,0.028482298234486,0.039773498842038,0.042336885905264,0.056555863955793,0.033285100533815,0.782697055686577,0.120862962051381,0.595733429142283,0.364561646060011,0.000272006074251,0.005322566382407,0.068205209705163,0.061017429593603,0.029082642988665,0.057138644593213,0.039887451020520,0.021225005156082
2,MCMC,Gibbs,/,7169666.421723886393011,2699,0,12.477362236000001,0.439594715000000,0.549659727066783,0.171403428195333,0.152773599805749,0.429044331378945,0.000114454043151,0.062026560995204,0.049467509256284,0.028497185044152,0.039787004061620,0.042352118745174,0.056565249352234,0.033298752723116,0.782676081066426,0.120850809907209,0.595727578718470,0.364568791635449,0.000272006435548,0.005341517200482,0.068214676444414,0.061027794632211,0.029098191904753,0.057158638941644,0.039896255948602,0.021252141563139
2,MCMC,Gibbs,/,7168152.554503215476871,2999,0,13.287908726000001,0.494793325000000,0.549642820385168,0.171395820587680,0.152773322163907,0.429033725893083,0.000114456638517,0.062037410044335,0.049491609434046,0.028523709679067,0.039809060791872,0.042376142695722,0.056571739750503,0.033329153532550,0.782655157175546,0.120841909578214,0.595735386681035,0.364562686765498,0.000271999805767,0.005352137374162,0.068218953205550,0.061040241428182,0.029100300295483,0.057171307535736,0.039907324222281,0.021259123117344
